-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2018 through 02/04/2024 
Location: Latitude  29.153   Longitude 73.723 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 188.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT       CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_KT,T2M,QV2M,PRECTOTCORR,PS
2018,1,1,5,-999.0,9.42,1.83,0.0,99.17
2018,1,1,6,-999.0,8.75,1.83,0.0,99.22
2018,1,1,7,0.48,8.57,1.89,0.0,99.28
2018,1,1,8,0.65,10.89,1.95,0.0,99.34
2018,1,1,9,0.74,13.25,1.89,0.0,99.39
2018,1,1,10,0.77,17.0,1.89,0.0,99.38
2018,1,1,11,0.77,20.72,1.89,0.0,99.33
2018,1,1,12,0.75,22.0,1.95,0.0,99.24
2018,1,1,13,0.74,22.55,2.01,0.0,99.15
2018,1,1,14,0.71,22.68,2.08,0.0,99.11
2018,1,1,15,0.6,22.07,2.2,0.0,99.09
2018,1,1,16,0.44,19.52,2.32,0.0,99.08
2018,1,1,17,-999.0,17.75,2.2,0.0,99.12
2018,1,1,18,-999.0,17.0,2.2,0.0,99.16
2018,1,1,19,-999.0,16.44,2.2,0.0,99.22
2018,1,1,20,-999.0,15.97,2.14,0.0,99.24
2018,1,1,21,-999.0,15.41,2.14,0.0,99.25
2018,1,1,22,-999.0,14.46,2.14,0.0,99.23
2018,1,1,23,-999.0,13.5,2.14,0.0,99.19
2018,1,2,0,-999.0,12.23,2.14,0.0,99.17
2018,1,2,1,-999.0,11.2,2.14,0.0,99.17
2018,1,2,2,-999.0,10.77,2.14,0.0,99.19
