-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2018 through 02/04/2024 
Location: Latitude  18.504   Longitude 73.853 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 635.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT       CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_KT,T2M,QV2M,PRECTOTCORR,PS
2018,1,1,5,-999.0,11.75,7.02,0.0,93.95
2018,1,1,6,0.53,11.48,6.96,0.0,94.01
2018,1,1,7,0.48,14.02,8.24,0.0,94.09
2018,1,1,8,0.64,17.47,7.69,0.0,94.14
2018,1,1,9,0.7,20.3,8.42,0.0,94.16
2018,1,1,10,0.73,24.04,7.87,0.0,94.1
2018,1,1,11,0.74,25.31,8.0,0.0,94.01
2018,1,1,12,0.71,25.87,8.24,0.0,93.89
2018,1,1,13,0.7,26.01,8.36,0.0,93.79
2018,1,1,14,0.66,25.69,8.42,0.0,93.74
2018,1,1,15,0.6,24.76,8.79,0.0,93.73
2018,1,1,16,0.48,22.7,10.5,0.0,93.75
2018,1,1,17,0.33,18.72,10.19,0.0,93.79
2018,1,1,18,-999.0,17.08,9.28,0.0,93.86
2018,1,1,19,-999.0,16.19,8.91,0.0,93.92
2018,1,1,20,-999.0,15.46,8.61,0.0,93.97
2018,1,1,21,-999.0,14.83,8.3,0.0,93.99
2018,1,1,22,-999.0,14.23,8.0,0.0,93.97
2018,1,1,23,-999.0,13.61,7.75,0.0,93.94
2018,1,2,0,-999.0,13.01,7.45,0.0,93.89
2018,1,2,1,-999.0,12.45,7.14,0.0,93.85
2018,1,2,2,-999.0,11.98,6.9,0.0,93.8
2018,1,2,3,-999.0,11.55,6.71,0.0,93.8
2018,1,2,4,-999.0,11.09,6.53,0.0,93.83
2018,1,2,5,-999.0,10.65,6.41,0.0,93.89
2018,1,2,6,-999.0,10.3,6.35,0.0,93.96
2018,1,2,7,0.44,13.14,7.2,0.0,94.04
2018,1,2,8,0.58,16.63,6.65,0.0,94.1
2018,1,2,9,0.66,19.63,7.57,0.0,94.11
2018,1,2,10,0.7,23.52,7.63,0.0,94.07
2018,1,2,11,0.71,25.01,8.06,0.0,93.98
2018,1,2,12,0.7,25.73,8.3,0.0,93.88
2018,1,2,13,0.69,26.04,8.48,0.0,93.8
2018,1,2,14,0.66,26.01,8.54,0.0,93.75
2018,1,2,15,0.6,25.47,8.73,0.0,93.74
2018,1,2,16,0.49,24.23,10.01,0.0,93.78
2018,1,2,17,0.34,21.08,9.77,0.0,93.83
2018,1,2,18,-999.0,18.71,9.34,0.0,93.91
2018,1,2,19,-999.0,17.19,9.28,0.0,93.98
2018,1,2,20,-999.0,16.27,9.03,0.0,94.03
2018,1,2,21,-999.0,15.68,8.79,0.0,94.04
2018,1,2,22,-999.0,15.05,8.48,0.0,94.04
2018,1,2,23,-999.0,14.43,8.24,0.0,94.0
2018,1,3,0,-999.0,13.69,8.0,0.0,93.96
2018,1,3,1,-999.0,12.83,7.81,0.0,93.93
2018,1,3,2,-999.0,12.12,7.57,0.0,93.9
2018,1,3,3,-999.0,11.62,7.32,0.0,93.91
2018,1,3,4,-999.0,11.22,7.08,0.0,93.95
2018,1,3,5,-999.0,10.9,6.84,0.0,94.02
2018,1,3,6,-999.0,10.71,6.65,0.0,94.1
2018,1,3,7,0.41,13.12,6.71,0.0,94.19
2018,1,3,8,0.55,15.87,6.96,0.0,94.26
2018,1,3,9,0.64,19.34,7.81,0.0,94.28
2018,1,3,10,0.68,23.51,7.87,0.0,94.24
2018,1,3,11,0.69,25.46,7.87,0.0,94.16
2018,1,3,12,0.67,26.22,8.18,0.0,94.07
2018,1,3,13,0.66,26.48,8.3,0.0,93.98
2018,1,3,14,0.62,26.37,8.3,0.0,93.92
2018,1,3,15,0.56,25.82,8.73,0.0,93.91
2018,1,3,16,0.45,24.55,10.07,0.0,93.94
2018,1,3,17,0.31,21.35,9.58,0.0,93.99
2018,1,3,18,-999.0,19.12,9.22,0.0,94.07
