-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2018 through 02/04/2024 
Location: Latitude  26.919   Longitude 70.769 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT       CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_KT,T2M,QV2M,PRECTOTCORR,PS
2018,1,1,5,-999.0,10.28,1.95,0.0,99.37
2018,1,1,6,-999.0,9.8,1.95,0.0,99.42
2018,1,1,7,0.48,9.82,1.95,0.0,99.48
2018,1,1,8,0.68,12.9,2.08,0.0,99.54
2018,1,1,9,0.76,15.66,2.01,0.0,99.57
2018,1,1,10,0.79,19.3,2.01,0.0,99.56
2018,1,1,11,0.8,22.91,1.95,0.0,99.49
2018,1,1,12,0.71,24.26,1.89,0.0,99.4
2018,1,1,13,0.79,24.92,1.89,0.0,99.31
2018,1,1,14,0.77,25.06,1.89,0.0,99.25
2018,1,1,15,0.72,24.59,1.89,0.0,99.22
2018,1,1,16,0.6,22.37,2.2,0.0,99.22
2018,1,1,17,0.4,19.15,2.08,0.0,99.25
2018,1,1,18,-999.0,17.63,2.01,0.0,99.32
2018,1,1,19,-999.0,16.61,2.01,0.0,99.38
2018,1,1,20,-999.0,15.53,2.08,0.0,99.4
2018,1,1,21,-999.0,14.44,2.08,0.0,99.41
2018,1,1,22,-999.0,13.48,2.08,0.0,99.4
2018,1,1,23,-999.0,12.65,2.08,0.0,99.36
2018,1,2,0,-999.0,11.87,2.08,0.0,99.32
2018,1,2,1,-999.0,11.26,2.08,0.0,99.31
2018,1,2,2,-999.0,10.8,2.08,0.0,99.31
2018,1,2,3,-999.0,10.26,2.08,0.0,99.3
2018,1,2,4,-999.0,9.62,2.01,0.0,99.29
2018,1,2,5,-999.0,8.94,2.01,0.0,99.33
2018,1,2,6,-999.0,8.35,2.01,0.0,99.4
2018,1,2,7,0.42,8.77,2.01,0.0,99.47
2018,1,2,8,0.62,13.19,2.08,0.0,99.54
2018,1,2,9,0.71,16.12,2.08,0.0,99.58
2018,1,2,10,0.76,19.91,2.14,0.0,99.55
2018,1,2,11,0.71,23.24,1.95,0.0,99.48
2018,1,2,12,0.8,24.42,1.83,0.0,99.39
2018,1,2,13,0.8,25.01,1.71,0.0,99.31
2018,1,2,14,0.77,25.14,1.65,0.0,99.26
2018,1,2,15,0.72,24.75,1.65,0.0,99.23
2018,1,2,16,0.61,23.28,1.95,0.0,99.24
2018,1,2,17,0.41,21.15,1.77,0.0,99.27
2018,1,2,18,-999.0,19.63,1.71,0.0,99.33
2018,1,2,19,-999.0,18.19,1.71,0.0,99.4
2018,1,2,20,-999.0,16.77,1.71,0.0,99.44
2018,1,2,21,-999.0,15.47,1.71,0.0,99.46
2018,1,2,22,-999.0,14.21,1.71,0.0,99.44
2018,1,2,23,-999.0,13.34,1.71,0.0,99.41
2018,1,3,0,-999.0,12.66,1.71,0.0,99.38
2018,1,3,1,-999.0,11.83,1.71,0.0,99.34
2018,1,3,2,-999.0,10.84,1.77,0.0,99.29
2018,1,3,3,-999.0,9.99,1.83,0.0,99.28
2018,1,3,4,-999.0,9.32,1.89,0.0,99.31
2018,1,3,5,-999.0,8.71,1.95,0.0,99.36
2018,1,3,6,-999.0,8.2,2.08,0.0,99.45
2018,1,3,7,0.42,8.78,2.14,0.0,99.55
2018,1,3,8,0.62,13.32,2.32,0.0,99.62
2018,1,3,9,0.7,16.3,2.38,0.0,99.66
2018,1,3,10,0.74,19.89,2.44,0.0,99.64
2018,1,3,11,0.76,23.66,2.01,0.0,99.55
2018,1,3,12,0.79,24.77,1.83,0.0,99.43
2018,1,3,13,0.77,25.26,1.83,0.0,99.33
2018,1,3,14,0.75,25.33,1.83,0.0,99.24
2018,1,3,15,0.7,24.94,1.83,0.0,99.2
2018,1,3,16,0.58,23.26,2.14,0.0,99.2
2018,1,3,17,0.39,21.38,1.95,0.0,99.23
2018,1,3,18,-999.0,20.43,1.95,0.0,99.31
2018,1,3,19,-999.0,19.46,1.89,0.0,99.38
2018,1,3,20,-999.0,18.17,1.95,0.0,99.42
2018,1,3,21,-999.0,16.42,1.95,0.0,99.42
2018,1,3,22,-999.0,14.83,1.95,0.0,99.41
2018,1,3,23,-999.0,13.72,2.01,0.0,99.38
2018,1,4,0,-999.0,12.99,2.01,0.0,99.34
2018,1,4,1,-999.0,12.49,2.01,0.0,99.3
2018,1,4,2,-999.0,12.26,2.01,0.0,99.27
2018,1,4,3,-999.0,12.06,2.01,0.0,99.25
2018,1,4,4,-999.0,11.59,2.01,0.0,99.24
2018,1,4,5,-999.0,10.98,2.01,0.0,99.28
2018,1,4,6,-999.0,10.23,2.01,0.0,99.35
2018,1,4,7,0.4,9.98,2.01,0.0,99.43
2018,1,4,8,0.59,13.42,2.08,0.0,99.49
2018,1,4,9,0.69,16.18,2.01,0.0,99.53
2018,1,4,10,0.73,20.25,2.01,0.0,99.51
2018,1,4,11,0.74,23.5,2.01,0.0,99.43
2018,1,4,12,0.76,24.54,2.08,0.0,99.33
2018,1,4,13,0.74,24.95,2.26,0.0,99.24
2018,1,4,14,0.72,25.05,2.44,0.0,99.18
2018,1,4,15,0.66,24.51,2.69,0.0,99.15
2018,1,4,16,0.54,22.13,3.11,0.0,99.14
2018,1,4,17,0.36,19.25,3.36,0.0,99.17
2018,1,4,18,-999.0,18.73,3.54,0.0,99.25
2018,1,4,19,-999.0,18.54,3.66,0.0,99.32
2018,1,4,20,-999.0,18.25,3.72,0.0,99.37
2018,1,4,21,-999.0,17.69,3.72,0.0,99.4
2018,1,4,22,-999.0,16.69,3.6,0.0,99.42
2018,1,4,23,-999.0,15.4,3.36,0.0,99.4
2018,1,5,0,-999.0,13.99,3.11,0.0,99.36
2018,1,5,1,-999.0,12.72,2.87,0.0,99.32
2018,1,5,2,-999.0,11.65,2.69,0.0,99.28
2018,1,5,3,-999.0,10.77,2.5,0.0,99.26
2018,1,5,4,-999.0,9.98,2.38,0.0,99.27
2018,1,5,5,-999.0,9.29,2.32,0.0,99.32
2018,1,5,6,-999.0,8.64,2.32,0.0,99.39
2018,1,5,7,0.32,8.83,2.32,0.0,99.47
2018,1,5,8,0.49,10.87,2.32,0.0,99.52
2018,1,5,9,0.61,13.39,2.38,0.0,99.55
2018,1,5,10,0.67,17.08,2.38,0.0,99.55
2018,1,5,11,0.7,20.64,2.56,0.0,99.48
2018,1,5,12,0.76,23.22,2.87,0.0,99.38
2018,1,5,13,0.74,24.62,3.11,0.0,99.28
2018,1,5,14,0.72,24.71,3.17,0.0,99.22
2018,1,5,15,0.66,24.03,3.17,0.0,99.2
2018,1,5,16,0.54,21.55,3.17,0.0,99.22
2018,1,5,17,0.07,17.36,3.05,0.0,99.25
2018,1,5,18,-999.0,15.73,2.87,0.0,99.3
2018,1,5,19,-999.0,14.65,2.75,0.0,99.37
2018,1,5,20,-999.0,13.65,2.69,0.0,99.41
2018,1,5,21,-999.0,12.8,2.62,0.0,99.43
2018,1,5,22,-999.0,12.07,2.62,0.0,99.43
2018,1,5,23,-999.0,11.4,2.56,0.0,99.41
2018,1,6,0,-999.0,10.75,2.56,0.0,99.4
2018,1,6,1,-999.0,10.09,2.56,0.0,99.38
2018,1,6,2,-999.0,9.43,2.56,0.0,99.36
2018,1,6,3,-999.0,8.83,2.62,0.0,99.34
2018,1,6,4,-999.0,8.26,2.69,0.0,99.35
2018,1,6,5,-999.0,7.74,2.75,0.0,99.4
2018,1,6,6,-999.0,7.29,2.81,0.0,99.47
2018,1,6,7,0.36,7.65,2.81,0.0,99.53
2018,1,6,8,0.55,9.82,2.87,0.0,99.6
2018,1,6,9,0.63,12.05,2.93,0.0,99.64
2018,1,6,10,0.7,15.66,2.99,0.0,99.64
2018,1,6,11,0.72,18.85,2.99,0.0,99.58
2018,1,6,12,0.75,21.01,3.17,0.0,99.48
